iter,time,reward,steps,convergence
1,0.00122631800002182,-301.81,300.0,89.61606950836307
2,0.0020250770000416196,-304.73,300.0,80.22839977034307
3,0.0028863720000344983,-306.45,300.0,70.85404825233252
4,0.0038667030000283376,-338.69,300.0,61.49505136881292
5,0.004696465000023409,-315.21,300.0,52.10505136881293
6,0.005776146000016524,-299.0,300.0,42.74809851774334
7,0.006643121000024621,-325.83,300.0,33.34458994743129
8,0.007532552000014903,-320.77,300.0,24.00108194743128
9,0.009041370000034021,-307.03,300.0,14.434586631088672
10,0.009883817000030604,-299.0,300.0,5.094450277495288
11,0.01077129100002594,-306.96,300.0,5.088318481200501
12,0.012093242000020155,-305.8,300.0,5.097275389653667
13,0.012888680000003205,-300.47,300.0,5.12108648481409
14,0.013713281000008237,-299.29,300.0,4.890741843736568
15,0.014668215000000373,-380.04,300.0,4.888630466793846
16,0.015461616999999706,-299.0,300.0,4.845056574784934
17,0.016273312999999234,-299.29,300.0,4.858573389267117
18,0.01743103399999768,-397.49,300.0,4.811571389267117
19,0.01824020899999823,-304.62,300.0,4.994592677581396
20,0.01904447699999423,-299.0,300.0,4.892827105161016
21,0.02003956100000437,-307.09,300.0,4.881860315583441
22,0.020873369000014463,-299.0,300.0,4.857452181812737
23,0.021705456000006507,-299.0,300.0,4.821613082878689
24,0.022521713000003274,-299.0,300.0,4.839995398166822
25,0.023331355999999914,-330.16,300.0,4.85705440347388
26,0.024242844999974977,-299.0,300.0,4.862589818646841
27,0.025050150999959442,-308.27,300.0,4.910747082192415
28,0.0259516109999538,-335.58,300.0,4.907762219794604
29,0.026797568999938903,-299.0,300.0,4.869942585890006
30,0.02763141599993446,-310.76,300.0,4.8889931392085675
31,0.02859033499993302,-317.13,300.0,4.859045702486995
32,0.02937965099991402,-351.79,300.0,4.674507947005128
33,0.030205883999911975,-359.43,300.0,4.692323209501699
34,0.031118060999915542,-302.9,300.0,4.831478648418694
35,0.03192182999993065,-316.32,300.0,4.819464229566998
36,0.03276165799994146,-299.87,300.0,4.844189775828591
37,0.03360290799992072,-348.49,300.0,4.803560305543255
38,0.034407631999926025,-526.1,300.0,4.826855128768864
39,0.03490761399993403,-299.0,300.0,4.8584787039500075
40,0.03572058699992908,-347.07,300.0,4.740894462694452
41,0.03670593899994401,-299.0,300.0,4.78528273126481
42,0.037885804999945094,-402.49,300.0,4.984002695611527
43,0.038613857999934,-306.45,300.0,4.9296810823885835
