iter,time,reward,steps,convergence
1,0.001518981000003805,-1060.71,299.68,93.68019000000001
2,0.0032117760000005546,-341.42,300.0,88.4871627123745
3,0.004348837000009098,-319.05,300.0,83.17537171237448
4,0.005359633000011854,-341.9,300.0,82.3563717123745
5,0.00686329900003102,-644.04,300.0,77.48107171237449
6,0.007720817999995688,-493.31,300.0,75.66332371237449
7,0.009281673000032242,-312.23,300.0,70.71874052549686
8,0.010132128000066132,-321.68,300.0,69.89974052549685
9,0.01118385900008434,-572.19,299.58,64.55754183923484
10,0.012194706000116184,-424.67,300.0,60.8776364335733
11,0.013166863000094509,-535.88,297.31,60.65987182877105
12,0.014209057000073244,-417.61,299.22,64.49971098227877
13,0.015273794000052021,-672.5,300.0,64.08724291450065
14,0.016267745000050127,-524.72,297.45,62.91141934848164
15,0.0172707320000427,-360.08,300.0,66.16144092629665
16,0.018189382000002752,-405.03,299.21,65.68432024856266
17,0.019096143000012944,-338.88,300.0,65.97222423063899
18,0.01991249500002823,-320.71,299.64,64.62788417828978
19,0.02081909200001064,-704.68,297.66,67.50876001805283
20,0.021334348999971553,-737.15,294.66,70.31227511451183
21,0.022181425999974635,-379.36,300.0,71.79842092354886
22,0.02299601899994741,-342.21,300.0,69.26852879653711
23,0.023832191999929364,-347.72,300.0,70.70723453513662
24,0.024665934999916317,-405.03,299.85,71.12975147449379
25,0.025486343999943983,-378.7,300.0,67.81019844100926
26,0.02629015099995513,-328.96,300.0,67.27761450428287
27,0.02723245599997881,-320.54,300.0,71.01379161908419
28,0.02806633399995917,-356.17,300.0,69.77287353529013
29,0.028912297999966086,-316.85,300.0,68.26168321335956
30,0.02943658599997434,-487.1,297.42,66.8372416510454
31,0.030216193000001113,-392.02,300.0,67.92216299826978
32,0.03103621100001419,-619.26,298.74,67.94742010724067
33,0.031814671000006456,-449.91,293.23,67.54000267996395
34,0.032625961999997344,-407.11,296.47,67.90545458835278
35,0.033413322000001244,-390.01,294.77,71.0707467342771
36,0.03419445400004406,-425.13,295.61,71.24995371298063
37,0.035000516000081916,-321.84,300.0,68.43245541632466
38,0.035810512000068684,-321.7,300.0,69.48974171274087
39,0.036596707000057904,-613.65,295.62,68.98014464293102
40,0.03737098900006686,-301.94,300.0,68.10547248480906
41,0.03819685100006609,-364.39,298.59,69.57124168105118
42,0.03899350900007903,-362.44,300.0,72.96091156305872
43,0.039789779000045655,-593.86,284.54,76.60258316827314
44,0.04057175000002644,-359.08,300.0,75.24031087037308
45,0.041643953000004785,-305.11,300.0,73.97762612729345
46,0.04245613599999842,-442.34,296.85,73.28830099615425
47,0.043009686000004876,-818.68,278.39,76.1964805765232
48,0.043670560999999,-392.77,275.06,77.72445241625026
49,0.04445660900000803,-465.53,299.25,79.48695426398834
50,0.04579936999999745,-396.85,294.6,83.46972825327006
51,0.04728994099997408,-431.7,286.51,81.03092524225426
52,0.04807305299999598,-374.48,298.5,79.09466409035313
53,0.048858694000045944,-446.34,281.91,78.2308934741782
54,0.04963279800000464,-396.77,299.7,80.13065794655543
55,0.05036083900000676,-351.78,298.14,82.47927089961723
56,0.05113732699999218,-361.82,298.17,83.79411903493035
57,0.05191967499996508,-393.42,297.72,84.08003573355832
58,0.05272298999994973,-432.99,268.57,83.61528532633714
59,0.053510208999966835,-318.98,300.0,86.80277763999608
60,0.05433242399993787,-383.66,299.91,84.24823752639081
61,0.055120444999943174,-300.85,300.0,85.10281953170482
62,0.05624804199999289,-306.84,300.0,82.14397265403576
63,0.05711402600002202,-299.98,300.0,79.00741938115084
64,0.057915539000021,-377.58,291.66,79.26979162051607
65,0.05859689900000831,-308.53,299.2,74.6816913020719
66,0.05944613600001958,-466.04,271.15,75.27000814680832
