iter,time,reward,steps,convergence
1,0.0034120410000000323,-692.05,299.96,89.59
2,0.004635474000000084,-299.0,300.0,79.97999999999999
3,0.005613891999999954,-299.0,300.0,70.08001206105402
4,0.007374965999999983,-299.0,300.0,60.18001207729675
5,0.008499339999999744,-299.0,300.0,50.28001214550641
6,0.009594881999999583,-299.0,300.0,40.38001245633363
7,0.01090671299999979,-299.0,300.0,30.480012726790697
8,0.012326238999999628,-299.0,300.0,20.580012962811857
9,0.013833295999999606,-299.0,300.0,10.680013183464185
10,0.014870172999999376,-299.0,300.0,0.7800133853524045
11,0.01601660899999935,-299.0,300.0,0.29001353994610213
