iter,time,reward,steps,convergence
1,0.0009234370000115177,-387.71,300.0,93.6
2,0.0018339469999943958,-458.24,300.0,88.8057
3,0.0027580839999927775,-847.8,300.0,83.5825935267
4,0.003573904999967681,-448.74,300.0,78.42100489209
5,0.0045019419999619,-329.32,300.0,77.52100489209
6,0.005364653999976099,-299.0,300.0,72.4232993059135
7,0.006158451999993986,-299.0,300.0,67.09342218707559
8,0.006939251999995122,-302.61,300.0,63.63243751546653
9,0.00778707699998904,-370.68,300.0,61.66143751546652
10,0.008573549999994157,-646.76,299.63,60.57333751546652
11,0.009416573999970979,-397.84,300.0,64.88442751546651
12,0.010207617999981267,-697.2,300.0,68.03676178661551
13,0.011005833999973902,-373.03,299.93,68.34285082991552
14,0.011793776999979855,-481.04,300.0,70.74044946452553
15,0.012604462999973975,-415.93,300.0,68.90259224701325
16,0.013434835999959205,-358.92,300.0,72.52135600683599
17,0.014139525999951275,-347.13,300.0,73.81401447456952
18,0.014908865999956333,-327.6,300.0,76.15775643047122
19,0.0153408269999602,-301.48,299.88,74.75196945059017
20,0.016126305999961232,-352.95,299.76,71.25026437524646
21,0.017189648999959672,-325.03,298.89,70.13740643110178
22,0.017977067999964902,-370.25,300.0,69.6642123157944
23,0.018756231999958572,-501.01,299.48,74.15433422842429
24,0.019533452999979772,-299.0,300.0,73.76282605902568
25,0.020338933999994424,-299.49,300.0,71.30186974815804
26,0.021128706000013153,-311.47,300.0,69.85612317153613
27,0.021966135000013765,-300.16,300.0,71.53331850061355
28,0.022802723000012293,-302.39,300.0,70.11580851894993
29,0.023449398000025212,-375.51,295.83,68.52608033363339
30,0.024276643000035847,-377.77,299.24,69.24785370805867
31,0.025057014000026356,-400.39,296.01,68.27299682887838
32,0.02582329500000924,-299.58,300.0,68.0620775476413
33,0.026607846000018753,-348.51,275.58,65.96175684059855
34,0.027383788000008735,-422.97,300.0,68.0174678620381
35,0.028195217000018147,-340.65,300.0,69.18195901231567
36,0.028988869000016848,-308.53,299.87,68.00720073106736
37,0.02978356400001303,-308.72,300.0,70.60243816782705
38,0.030725447999998323,-413.27,239.47,72.31978379600402
39,0.031518576999985726,-399.21,297.36,76.85546554344751
40,0.03226175399998965,-524.49,295.56,77.55667243430882
41,0.03304637499999785,-317.13,300.0,75.18737695735439
42,0.03383979000000181,-299.0,300.0,76.56786725697668
43,0.03463980899999797,-347.92,300.0,76.50052480440351
44,0.035467065999995384,-508.67,297.48,74.74277155530322
45,0.03625102699999161,-332.27,299.31,76.39889678515901
46,0.03694885400000203,-314.78,300.0,78.51185197330076
47,0.03773635799998942,-313.36,298.78,76.19254280344418
48,0.03853472299996952,-302.92,300.0,71.54079900906291
49,0.03931513799997788,-332.95,298.23,71.33445413271541
50,0.040152794999983143,-432.39,289.19,73.51031873343797
51,0.04145940499998346,-514.31,270.89,78.82746867635957
52,0.04230532199997583,-569.02,249.31,75.81998358830951
53,0.04309253899998566,-447.24,278.55,75.3183913713226
54,0.04387063199999375,-399.14,290.18,74.09121735757464
55,0.044645921999972416,-410.58,288.57,74.72853067810783
56,0.045423280999955296,-351.74,289.45,75.89602217419005
57,0.0462437619999605,-459.88,277.82,76.16099487351697
58,0.0468562049999548,-362.78,272.22,76.41568330616171
59,0.04726053399997454,-474.43,290.22,74.2154098678755
60,0.04778202599996462,-451.25,292.02,70.21732947094739
61,0.048595562999963704,-357.39,286.94,70.7920684702095
62,0.04906756999997697,-346.25,237.12,72.86968220979006
63,0.04983706299998403,-371.11,291.57,70.3577235836162
