iter,time,reward,steps,convergence
1,0.002036216000000479,-248.08,200.0,91.88838
2,0.0036715570000041,-203.06,200.0,84.91388248770497
3,0.0052410820000048375,-201.08,197.14,79.60388248770496
4,0.006520558000005394,-201.46,200.0,72.46877248770497
5,0.007159900000004882,-208.96,198.64,65.46373370141865
6,0.008596504000003335,-244.96,200.0,58.341558765020025
7,0.010141857999997228,-185.92,188.96,49.41518350787375
8,0.010712955000002466,-200.56,197.48,40.34560685450653
9,0.011167790999998317,-172.66,177.54,31.11828438871164
10,0.011402457999992066,-197.02,197.14,24.063878270864365
11,0.012050140999988912,-246.12,196.34,24.039872783821068
12,0.012972694999987766,-203.5,194.82,22.138870711550645
13,0.014495867999990253,-196.24,189.78,19.543231940174596
14,0.015273372999985213,-160.42,176.6,19.402299048934047
15,0.015475950999984889,-198.06,194.14,19.16017682017344
16,0.016340940999981513,-237.22,193.18,21.12222106218719
17,0.017142505999984792,-249.88,173.98,23.98666653209823
18,0.017971437999989348,-248.6,192.52,25.47616172213632
19,0.018347058999992782,-96.98,128.9,26.31164343487662
20,0.018603038999991384,-148.8,165.52,25.10356496889136
21,0.018952239999990184,-25.14,98.78,24.22650242152978
22,0.01906993799998702,-85.34,140.3,25.958898992141265
23,0.01938825999998528,-31.72,104.48,28.891667883220304
24,0.019568565999989573,-0.7,92.46,27.356270289959355
25,0.01973204699999087,28.1,70.64,25.600268518877265
26,0.019923689999991723,38.32,54.34,23.991109245999244
27,0.020112132999990706,12.68,81.0,20.905531083198422
28,0.020297642999985044,-126.96,163.96,20.52938279455945
29,0.020624865999984365,28.52,67.5,19.700800358832755
30,0.020929578999982823,-12.54,84.54,23.204911474443414
31,0.021222672999982706,-68.86,129.04,22.074002176007962
32,0.02140120299998216,-134.86,166.7,19.936421355499316
33,0.02159979999998285,43.04,51.18,16.663509864612713
34,0.021778831999981207,-87.68,123.2,17.44872405940776
35,0.02201002799998264,-149.24,175.58,20.54620188207528
36,0.022368897999982096,-181.2,182.0,21.412444022671107
37,0.022600376999982075,-174.58,182.0,22.146993595167327
38,0.023506284999982086,-182.56,177.08,24.64097209212819
39,0.02373923799998323,-153.08,163.82,25.774463291226056
40,0.024089197999984435,-57.18,111.72,23.868624387832575
41,0.024341814999985445,-21.2,105.72,29.595935506944965
42,0.024586947999985398,-115.48,138.18,30.102283242085246
43,0.02486203099998363,-45.56,92.0,30.97631828195054
44,0.025153518999985636,10.36,80.32,30.43311221861905
45,0.025343461999987937,49.32,48.3,28.007062735327196
46,0.025525604999984353,-13.3,106.3,25.025662096576117
47,0.025613484999986724,38.1,26.2,24.52697859901358
48,0.025711992999987388,21.74,59.42,23.294291027351147
49,0.02579896599998932,-448.76,88.52,24.428296244731612
50,0.025931080999988865,39.08,31.42,23.510696940877367
51,0.026138575999986813,35.98,30.64,18.049098387662006
52,0.026226256999983377,11.34,51.22,20.103585873053902
53,0.026325375999981304,29.62,63.94,18.88410447699805
54,0.026391637999978457,42.74,51.0,18.84619315817404
55,0.026563000999978215,-44.46,126.28,18.77385105515343
56,0.026763241999979925,4.24,93.2,19.492161216438166
57,0.02699185899997758,-44.24,128.76,20.125695931260555
