iter,time,reward,steps,convergence
1,0.0016772809999991978,-471.3,200.0,89.61
2,0.0024066529999995367,-448.98,200.0,79.81534394175922
3,0.0030183669999992446,-215.9,200.0,70.22530018411524
4,0.003923634999999592,-232.06,200.0,60.8352707035617
5,0.004828067999998353,-212.34,200.0,51.47829218957245
6,0.005893395999997608,-280.12,199.62,41.88139441099427
7,0.006988540999996573,-273.24,200.0,32.05835824216665
8,0.008030795999996343,-203.64,200.0,22.412445858310694
9,0.009160326999996471,-269.32,200.0,12.82182616831069
10,0.010213812999996463,-221.14,200.0,3.1701537608183514
11,0.01139247599999571,-291.0,200.0,3.144204026620078
12,0.012379179999996381,-213.3,200.0,3.30503361463211
13,0.013275650999995392,-264.88,200.0,3.0281174630065393
14,0.014248087999995107,-208.86,200.0,2.6272973657164824
15,0.015135808999994893,-208.16,200.0,2.4041951714968604
16,0.016030583999995685,-415.34,200.0,2.4013928244631386
17,0.017112886999996135,-218.72,200.0,2.4052740667867796
18,0.018094043999996146,-226.26,200.0,2.240707141353623
19,0.01898141499999717,-247.14,200.0,2.0400599280762974
20,0.019883778999997048,-420.3,200.0,2.0771852670120183
21,0.020753287999996317,-299.92,200.0,1.6858760785801892
22,0.021630246999997382,-203.46,199.52,1.7014795606973394
23,0.022518186999997525,-243.66,200.0,1.9634687958302437
24,0.023408076999997363,-286.0,200.0,2.0913476695525377
25,0.024271126999996895,-224.74,200.0,1.970722915088355
26,0.025210732999997987,-211.18,200.0,1.771722889261143
27,0.025440478999996685,-219.38,199.78,2.11177324487509
28,0.026063497999995633,-215.82,200.0,2.383593084501146
29,0.026949629999995395,-219.88,200.0,2.326337373970513
30,0.027871853999995366,-276.72,200.0,2.3489603959172696
31,0.028753435999995247,-223.36,200.0,2.480113856467251
32,0.029671701999994582,-229.04,200.0,2.4173783460868092
33,0.030047699999993682,-234.66,200.0,2.315297587240617
34,0.030990379999993323,-231.48,200.0,2.2686700004811287
35,0.03176583999999316,-219.88,200.0,2.18262736466516
36,0.032682139999993254,-213.5,200.0,2.1325334776106843
37,0.03354537599999219,-219.76,199.58,2.0005561201080013
38,0.0341669409999934,-204.8,200.0,1.9849307192939036
39,0.034658824999993953,-206.54,200.0,2.2608891854344977
40,0.03517106899999334,-207.44,199.44,1.9913947096995102
41,0.03634864799999349,-224.52,200.0,1.8043507607834797
42,0.037325724999993426,-232.06,200.0,2.094589689958404
43,0.03793231799999397,-204.34,198.08,1.936452490694586
44,0.03884844099999363,-212.94,200.0,1.7973081256369028
45,0.039769611999993515,-214.66,200.0,2.003741044899924
46,0.04073678799999314,-199.96,196.3,2.059999577088166
47,0.041645696999992765,-241.58,200.0,1.9626771964058243
48,0.041919535999992874,-162.62,167.68,1.767411693006396
49,0.042794390999993936,-209.42,196.46,1.4741492774739726
50,0.0437249079999944,-211.44,189.78,1.6101520828958287
51,0.04455182799999413,-215.82,200.0,1.6210277354790308
52,0.04544939099999468,-197.54,198.24,1.1466636006458366
53,0.04632792899999494,-229.16,200.0,1.2197815294182284
54,0.04693377899999618,-255.58,190.06,1.5166144557438137
55,0.04784445299999618,-67.84,118.9,1.3981473570997367
56,0.048731390999996904,-131.82,150.82,1.6567380602544817
57,0.04891393199999605,-128.56,149.56,1.684630326874629
58,0.04981276699999526,-211.36,200.0,1.851697830416662
59,0.050169842999995495,-238.44,200.0,2.057393781495623
60,0.05073718899999591,-216.98,200.0,1.9391116348888189
61,0.05162040799999623,-153.92,171.08,2.265136266602924
62,0.05262637099999523,-193.04,178.66,2.336999492089377
63,0.05290471199999658,-209.36,197.88,2.737506336755397
64,0.05337299099999626,-261.66,196.22,2.8320531154368958
65,0.05388184099999549,-172.36,184.16,3.043134610440771
66,0.0549750149999948,-120.52,148.44,2.768314088142705
67,0.05530862799999525,-193.34,192.28,2.591984897956597
68,0.055676651999995386,-197.64,193.6,2.322175887500392
69,0.05588781399999476,-156.16,168.1,2.4161525196183122
70,0.056675343999994965,-195.46,190.84,2.407594647705019
71,0.05712301299999467,-191.94,189.42,2.074335214975041
72,0.05744904599999501,-199.62,199.74,2.0100697110097343
73,0.05788058299999399,-211.42,200.0,2.0099681208349836
74,0.058541573999994156,-184.08,187.14,1.5991760832174677
75,0.05942009599999487,-36.92,85.68,1.4927319254206424
76,0.05979537899999521,-202.66,192.52,1.6235187147743417
77,0.06065764699999576,-197.34,195.96,1.771134331249197
78,0.06107002999999622,-184.94,180.54,1.7636715620204846
79,0.06136600899999678,-211.64,196.54,1.536839990121384
80,0.06215913999999678,-180.54,188.44,1.5259153436426793
81,0.06303008299999568,-216.4,200.0,1.9934674978908915
82,0.06356737299999615,-147.58,173.98,2.030426744120681
83,0.06395539699999553,-107.84,139.52,1.6957316392159014
84,0.06410321399999397,-155.46,171.04,1.8046179061930274
85,0.06455309399999543,-186.46,193.22,1.6217822039855812
86,0.06477190699999547,-189.22,193.96,1.6457346816960894
87,0.0650919939999941,-193.58,190.18,1.4901893954333012
88,0.06546408099999468,-170.84,180.0,1.5307084912045865
89,0.06589479899999517,-175.88,186.96,1.7709913620019813
90,0.06679867899999614,-187.44,192.18,2.2419537400258895
91,0.06738694299999537,-25.26,83.78,2.038582462781644
92,0.06748587599999567,-31.4,85.6,2.074994288685949
93,0.06760679299999417,-193.34,196.06,2.4091101446612355
94,0.06783483999999262,-168.18,180.7,2.3195434723076316
95,0.06812919999999245,-169.2,160.96,2.3021956106178783
96,0.0686834919999928,-120.6,131.66,2.190755555287285
97,0.06886569599999248,-76.88,110.6,2.491323061328246
98,0.0689749569999929,-205.54,198.74,2.716413029610616
99,0.0693380799999943,-186.76,180.72,2.5249750506514994
100,0.06975133599999417,-108.6,137.2,2.1596128606763223
101,0.07027223899999413,-181.3,186.68,2.231648487404464
102,0.07077875099999531,-149.92,166.7,2.1611496657465237
103,0.07094938199999667,-157.28,177.06,1.6941181060411694
104,0.07170680699999643,-165.78,176.78,1.682630971976001
105,0.0719934519999974,-177.22,180.82,1.9486031928874568
106,0.07242977299999787,-133.18,153.98,1.860713226872702
107,0.07275779299999918,-149.72,167.12,1.579449768359075
108,0.07305764499999867,-157.42,169.84,1.3196764078014447
109,0.07314681499999764,-32.92,82.1,1.3123281625425023
110,0.07330169499999784,-105.82,125.36,1.3074553367577046
111,0.07363299699999892,-203.3,172.42,1.2386606592413885
112,0.07398308799999853,-220.32,199.1,1.243675801587689
113,0.07425162799999896,-150.76,167.74,1.308559392963773
114,0.07476552899999866,-179.06,183.32,1.3126415543684047
115,0.07499204399999826,-160.22,173.92,1.1807927867836312
116,0.07531607399999807,-187.58,188.42,1.1694253356624422
117,0.07571144499999782,-171.02,180.44,1.313907152522085
118,0.0758353639999978,-178.78,186.98,1.308861440652803
119,0.0761016709999982,-167.1,176.32,1.1933215792550549
120,0.07641689599999779,-136.5,116.18,1.2344889486133197
121,0.0767919339999974,-175.88,184.36,1.0318847109496496
122,0.07704077499999684,-138.62,165.84,1.0262438266050928
123,0.07712873599999703,-158.74,182.44,1.0279850886721456
124,0.07757832599999581,-156.24,176.52,1.0360793850441774
125,0.07791171599999558,-56.28,107.0,1.0283882363485
126,0.0786122069999955,-169.5,179.9,1.038345283994763
127,0.078950402999995,-81.02,150.46,0.8792588811397088
128,0.07951288899999476,-138.36,157.74,1.2307076342477408
129,0.07992087799999581,-158.3,170.52,1.3029254969679251
130,0.08002456499999688,-84.28,114.78,1.3655098022125336
131,0.08015256699999718,-286.56,189.4,1.4128604864978918
132,0.0804116459999964,-196.66,197.3,1.721242831451341
