iter,time,reward,steps,convergence
1,0.0061176680000000205,-211.42,200.0,89.19
2,0.010922113000000011,-209.18,200.0,79.376099121
3,0.014190082000000048,-203.06,200.0,69.75982379037983
4,0.01676550600000004,-249.46,200.0,60.1629998264677
5,0.01991052800000004,-206.54,200.0,50.31108552156705
6,0.02278385500000013,-200.16,200.0,40.450131186660464
7,0.02705626800000016,-201.9,200.0,30.581838508663896
8,0.029585511000000286,-205.38,200.0,20.94991795722374
9,0.032814642000000394,-204.22,200.0,11.096193006200194
10,0.0352839220000003,-203.06,200.0,1.2337238182528651
11,0.03812180000000032,-197.56,197.1,1.1664999541768537
12,0.04102645100000024,-204.5,198.82,1.0992534301958614
13,0.043903080000000205,-204.8,200.0,0.8240329898167673
14,0.046315950000000106,-203.64,200.0,0.5284560792275442
15,0.048834390000000116,-211.18,200.0,0.48660299364950815
