iter,time,reward,steps,convergence
1,0.0014736959999996913,-204.22,200.0,89.45337882503543
2,0.0031550149999990396,-201.9,200.0,79.66337882503544
3,0.004828247999999036,-208.38,198.64,69.87322850688201
4,0.006514680000000439,-252.62,200.0,60.00499778516985
5,0.008061698999998868,-307.56,198.94,50.605002047779465
6,0.009747181999998134,-233.62,199.28,40.968307224743384
7,0.01078617499999801,-255.84,200.0,31.578307224743376
8,0.011240255999997117,-230.9,200.0,21.92723574203402
9,0.012234553999997289,-228.4,200.0,12.129169336197187
10,0.013137401999996356,-211.76,200.0,2.2634147961778894
11,0.014024041999997294,-216.98,200.0,2.2277825890603085
12,0.01441541399999835,-303.4,200.0,2.184446416593154
13,0.014903136999997457,-270.48,200.0,2.389859661292442
14,0.015827145999997683,-236.12,200.0,2.7973070857305857
15,0.016141224999996595,-236.7,200.0,2.6060332845146164
16,0.01703478799999658,-213.56,200.0,2.451618963259328
17,0.017944913999997425,-270.06,200.0,2.176695929702407
18,0.018661350999996884,-262.22,200.0,2.3904231919306653
19,0.01955794499999719,-235.74,198.16,2.6253491126528545
20,0.020445604999997258,-248.3,200.0,3.100277865772152
21,0.02124643399999826,-217.24,198.2,3.0923618684352405
22,0.02171592499999697,-232.06,200.0,3.3042937119649323
23,0.022623816999997715,-227.6,200.0,3.1899986805221574
24,0.023526949999999047,-247.56,197.8,2.9443328407987055
25,0.02439155799999959,-277.3,200.0,2.816453978404823
26,0.025267032999998662,-425.44,199.18,3.1345550602602175
27,0.02613543799999718,-209.06,197.84,2.9753921504629317
28,0.027052417999996692,-214.22,196.86,2.6850315438127863
29,0.027920148999996286,-213.68,197.82,2.396805607296092
30,0.028784970999996773,-224.04,198.64,2.3965050959998138
31,0.029660126999996095,-235.54,200.0,2.27832881182547
32,0.030524507999997397,-204.16,196.14,2.4221754382880603
33,0.03138325999999658,-190.06,192.44,2.329299608866164
34,0.0317321179999972,-202.48,200.0,2.3313037635475737
35,0.03259941799999844,-211.18,200.0,2.3269262997680613
36,0.03346086699999873,-265.7,200.0,2.228308320812586
37,0.03397204799999898,-284.16,200.0,2.2427023629789433
38,0.0343081449999989,-312.68,200.0,2.3780298869694647
39,0.03455387099999818,-248.8,200.0,2.5219503669021486
40,0.03543458299999891,-200.16,200.0,2.085086836539285
41,0.03638879499999881,-215.82,200.0,2.068358219327416
42,0.03669765399999747,-221.68,200.0,1.9534759828407942
